StartingAddress	NumberOfRegisters	Functions	Type	Parameter	ID	Name	Index	Unit/ValueTable	Values	Min	Max	UserLevel	ExpertLevel
9434	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 1	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9435	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 2	1/10°C				read	read
9436	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 2	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9437	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 3	1/10°C				read	read
9438	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 3	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9439	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 4	1/10°C				read	read
9440	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 4	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9441	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 5	1/10°C				read	read
9442	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 5	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9443	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 6	1/10°C				read	read
9444	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 6	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9445	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 7	1/10°C				read	read
9446	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 7	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9447	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 8	1/10°C				read	read
9448	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 8	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9449	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 9	1/10°C				read	read
9450	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 9	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9451	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 10	1/10°C				read	read
9452	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 10	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9453	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 11	1/10°C				read	read
9454	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 11	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
